Time,Is,D
108.332,12.8529,204.512
108.478,12.8612,204.5311
108.624,12.8695,204.5502
108.77,12.8779,204.5693
108.916,12.8863,204.5885
109.062,12.8948,204.6076
109.208,12.9033,204.6268
109.354,12.9118,204.646
109.5,12.9204,204.6651
109.646,12.929,204.6843
109.792,12.9377,204.7036
109.938,12.9465,204.7228
110.084,12.9553,204.742
110.23,12.9641,204.7613
110.376,12.973,204.7805
110.522,12.9819,204.7998
110.668,12.9909,204.8191
110.814,12.9999,204.8384
110.96,13.0089,204.8577
111.106,13.0181,204.8771
111.252,13.0272,204.8964
111.398,13.0364,204.9158
111.544,13.0457,204.9352
111.69,13.055,204.9546
111.836,13.0643,204.974
111.982,13.0737,204.9934
112.128,13.0832,205.0128
112.274,13.0927,205.0322
112.42,13.1022,205.0517
112.566,13.1118,205.0712
112.712,13.1214,205.0907
112.858,13.1311,205.1102
113.004,13.1408,205.1297
113.15,13.1506,205.1492
113.296,13.1605,205.1688
113.442,13.1703,205.1883
113.588,13.1803,205.2079
113.734,13.1902,205.2275
113.88,13.2003,205.2471
114.026,13.2103,205.2667
114.172,13.2205,205.2863
114.318,13.2306,205.306
114.464,13.2408,205.3256
114.61,13.2511,205.3453
114.756,13.2614,205.365
114.902,13.2718,205.3847
115.048,13.2822,205.4045
115.194,13.2927,205.4242
115.34,13.3032,205.444
115.486,13.3138,205.4637
115.632,13.3244,205.4835
115.778,13.335,205.5033
115.924,13.3457,205.5231
116.07,13.3565,205.543
116.216,13.3673,205.5628
116.362,13.3782,205.5827
116.508,13.3891,205.6026
116.654,13.4,205.6225
116.8,13.4111,205.6424
116.946,13.4221,205.6623
117.092,13.4332,205.6823
117.238,13.4444,205.7022
117.384,13.4556,205.7222
117.53,13.4669,205.7422
117.676,13.4782,205.7622
117.822,13.4895,205.7823
117.968,13.501,205.8023
118.114,13.5124,205.8224
118.26,13.5239,205.8425
118.406,13.5355,205.8626
118.552,13.5471,205.8827
118.698,13.5588,205.9028
118.844,13.5705,205.923
118.99,13.5823,205.9431
119.136,13.5941,205.9633
119.282,13.606,205.9835
119.428,13.6179,206.0038
119.574,13.6299,206.024
119.72,13.6419,206.0443
119.866,13.654,206.0645
120.012,13.6662,206.0848
120.158,13.6784,206.1051
120.304,13.6906,206.1255
120.45,13.7029,206.1458
120.596,13.7152,206.1662
120.742,13.7276,206.1866
120.888,13.7401,206.207
121.034,13.7526,206.2274
121.18,13.7651,206.2478
121.326,13.7778,206.2683
121.472,13.7904,206.2888
121.618,13.8031,206.3093
121.764,13.8159,206.3298
121.91,13.8287,206.3503
122.056,13.8416,206.3709
122.202,13.8545,206.3914
122.348,13.8675,206.412
122.494,13.8805,206.4327
122.64,13.8936,206.4533
122.786,13.9068,206.4739
122.932,13.92,206.4946
123.078,13.9332,206.5153
123.224,13.9465,206.536
123.37,13.9599,206.5567
123.516,13.9733,206.5775
123.662,13.9868,206.5983
123.808,14.0003,206.619
123.954,14.0139,206.6399
124.1,14.0275,206.6607
124.246,14.0412,206.6815
124.392,14.0549,206.7024
124.538,14.0687,206.7233
124.684,14.0826,206.7442
124.83,14.0965,206.7651
124.976,14.1105,206.7861
125.122,14.1245,206.8071
125.268,14.1386,206.8281
125.414,14.1527,206.8491
125.56,14.1669,206.8701
125.706,14.1811,206.8912
125.852,14.1954,206.9123
125.998,14.2098,206.9334
126.144,14.2242,206.9545
126.29,14.2387,206.9756
126.436,14.2532,206.9968
126.582,14.2678,207.018
126.728,14.2824,207.0392
126.874,14.2971,207.0604
127.02,14.3119,207.0817
127.166,14.3267,207.1029
127.312,14.3416,207.1242
127.458,14.3565,207.1455
127.604,14.3715,207.1669
127.75,14.3865,207.1882
127.896,14.4016,207.2096
128.042,14.4168,207.231
128.188,14.432,207.2525
128.334,14.4472,207.2739
128.48,14.4626,207.2954
128.626,14.478,207.3169
128.772,14.4934,207.3384
128.918,14.5089,207.36
129.064,14.5245,207.3815
129.21,14.5401,207.4031
129.356,14.5558,207.4247
129.502,14.5715,207.4464
129.648,14.5873,207.468
129.794,14.6032,207.4897
129.94,14.6191,207.5114
130.086,14.6351,207.5331
130.232,14.6512,207.5549
130.378,14.6673,207.5767
130.524,14.6834,207.5985
130.67,14.6996,207.6203
130.816,14.7159,207.6422
130.962,14.7323,207.664
131.108,14.7487,207.6859
131.254,14.7651,207.7079
131.4,14.7816,207.7298
131.546,14.7982,207.7518
131.692,14.8149,207.7738
131.838,14.8316,207.7958
131.984,14.8484,207.8178
132.13,14.8652,207.8399
132.276,14.8821,207.862
132.422,14.899,207.8841
132.568,14.916,207.9063
132.714,14.9331,207.9285
132.86,14.9503,207.9507
133.006,14.9675,207.9729
133.152,14.9847,207.9951
133.298,15.0021,208.0174
133.444,15.0194,208.0397
133.59,15.0369,208.062
133.736,15.0544,208.0844
133.882,15.072,208.1068
134.028,15.0896,208.1292
134.174,15.1073,208.1516
134.32,15.1251,208.1741
134.466,15.1429,208.1965
134.612,15.1608,208.2191
134.758,15.1788,208.2416
134.904,15.1968,208.2642
135.05,15.2149,208.2867
135.196,15.2331,208.3094
135.342,15.2513,208.332
135.488,15.2696,208.3547
135.634,15.2879,208.3774
135.78,15.3063,208.4001
135.926,15.3248,208.4229
136.072,15.3434,208.4456
136.218,15.362,208.4684
136.364,15.3807,208.4913
136.51,15.3994,208.5141
136.656,15.4182,208.537
136.802,15.4371,208.56
136.948,15.456,208.5829
